id,category_id,product_name,description,created_at,updated_at
1,101,Classic Crewneck Cotton T-Shirt,100% organic cotton breathable daily wear tee in a relaxed classic fit.,25/7/26 17:41,25/7/26 17:41
2,101,Ringer Stripe Short Sleeve Tee,Retro-inspired ringer tee with contrast trim at the neck and sleeves.,25/7/26 17:41,25/7/26 17:41
3,101,V-Neck Essential Tee,Soft-touch cotton blend tee with a flattering V-neckline for everyday layering.,25/7/26 17:41,25/7/26 17:41
4,101,Graphic Print Oversized Tee,Drop-shoulder oversized tee featuring a bold front graphic print.,25/7/26 17:41,25/7/26 17:41
5,102,Oxford Button-Down Shirt,"Crisp cotton oxford shirt with a button-down collar, ideal for smart-casual wear.",25/7/26 17:41,25/7/26 17:41
6,102,Linen Blend Short Sleeve Shirt,"Breathable linen-cotton shirt with a relaxed fit, perfect for warm weather.",25/7/26 17:41,25/7/26 17:41
7,102,Flannel Check Shirt,"Brushed flannel shirt in a classic check pattern with a soft, warm handfeel.",25/7/26 17:41,25/7/26 17:41
8,102,Chambray Work Shirt,Durable chambray shirt with chest pockets and a slightly structured fit.,25/7/26 17:41,25/7/26 17:41
9,103,Satin Wrap Blouse,Fluid satin blouse with a wrap front tie and elegant drape.,25/7/26 17:41,25/7/26 17:41
10,103,Ruffle Sleeve Chiffon Top,Lightweight chiffon top with ruffled sleeves and a relaxed silhouette.,25/7/26 17:41,25/7/26 17:41
11,103,Ribbed Knit Cami Top,"Fitted ribbed cami top with adjustable straps, great for layering.",25/7/26 17:41,25/7/26 17:41
12,103,Tie-Front Peplum Top,Structured peplum top with a tie-front detail that cinches the waist.,25/7/26 17:41,25/7/26 17:41
13,111,Cable Knit Crewneck Sweater,Chunky cable knit sweater in soft wool blend yarn for cold-weather warmth.,25/7/26 17:41,25/7/26 17:41
14,111,Turtleneck Ribbed Sweater,Fitted ribbed turtleneck sweater with stretch for a sleek silhouette.,25/7/26 17:41,25/7/26 17:41
15,111,Cotton Blend V-Neck Sweater,Lightweight V-neck sweater ideal for layering over shirts.,25/7/26 17:41,25/7/26 17:41
16,121,Oversized Leather Biker Jacket,Premium faux leather jacket with zip details and quilted lining.,25/7/26 17:41,25/7/26 17:41
17,121,Bomber Jacket with Ribbed Trim,"Classic bomber silhouette with ribbed cuffs, collar, and hem.",25/7/26 17:41,25/7/26 17:41
18,121,Denim Trucker Jacket,Timeless denim jacket with button flap chest pockets and a boxy fit.,25/7/26 17:41,25/7/26 17:41
19,121,Quilted Puffer Vest,Lightweight quilted vest with a stand collar for transitional layering.,25/7/26 17:41,25/7/26 17:41
20,122,Wool Blend Overcoat,Tailored knee-length overcoat in a wool blend with a notched lapel.,25/7/26 17:41,25/7/26 17:41
21,122,Longline Trench Coat,Water-resistant trench coat with a belted waist and classic double-breasted front.,25/7/26 17:41,25/7/26 17:41
22,122,Faux Fur Lined Parka,Insulated parka with a faux fur trimmed hood for extra warmth.,25/7/26 17:41,25/7/26 17:41
